La Chapelle-Bayvel (27146)
La Chapelle-du-Bois-des-Faulx (27147)
La Chapelle-Gauthier (27148)
La Chapelle-Hareng (27149)
La Chapelle-Longueville (27554)
La Couture-Boussey (27183)
La Croisille (27189)
La Ferrière-sur-Risle (27240)
La Forêt-du-Parc (27256)
La Goulafrière (27289)
La Harengère (27313)
La Haye-Aubrée (27317)
La Haye-de-Calleville (27318)
La Haye-de-Routot (27319)
La Haye-du-Theil (27320)
La Haye-le-Comte (27321)
La Haye-Malherbe (27322)
La Haye-Saint-Sylvestre (27323)
La Heunière (27336)
La Houssaye (27345)
La Lande-Saint-Léger (27361)
La Madeleine-de-Nonancourt (27378)
La Neuve-Grange (27430)
La Neuve-Lyre (27431)
La Neuville-du-Bosc (27432)
La Noë-Poulain (27435)
La Poterie-Mathieu (27475)
La Pyle (27482)
La Roquette (27495)
La Saussaye (27616)
La Trinité (27659)
La Trinité-de-Réville (27660)
La Trinité-de-Thouberville (27661)
La Vacherie (27666)
La Vieille-Lyre (27685)
Launay (27364)
Le Bec-Hellouin (27052)
Le Bec-Thomas (27053)
Le Bois-Hellain (27071)
Le Bosc du Theil (27302)
Le Boulay-Morin (27099)
Le Cormier (27171)
Le Favril (27237)
Le Fidelaire (27242)
Le Landin (27363)
Le Lesme (27565)
Le Manoir (27386)
Le Mesnil-Fuguet (27401)
Le Mesnil-Jourdain (27403)
Le Mesnil-Saint-Jean (27541)
Le Neubourg (27428)
Le Noyer-en-Ouche (27444)
Le Perrey (27263)
Le Planquay (27462)
Le Plessis-Grohan (27464)
Le Plessis-Hébert (27465)
Le Plessis-Sainte-Opportune (27466)
Le Theil-Nolent (27627)
Le Thil (27632)
Le Thuit (27635)
Le Thuit de l'Oison (27638)
Le Tilleul-Lambert (27641)
Le Torpt (27646)
Le Tremblay-Omonville (27658)
Le Troncq (27663)
Le Tronquay (27664)
Le Val d'Hazey (27022)
Le Val-David (27668)
Le Val-Doré (27447)
Le Vaudreuil (27528)
Le Vieil-Évreux (27684)
Léry (27365)
Les Andelys (27016)
Les Authieux (27027)
Les Barils (27038)
Les Baux-de-Breteuil (27043)
Les Baux-Sainte-Croix (27044)
Les Bottereaux (27096)
Les Damps (27196)
Les Hogues (27338)
Les Monts du Roumois (27062)
Les Places (27459)
Les Préaux (27476)
Les Thilliers-en-Vexin (27633)
Les Trois Lacs (27676)
Les Ventes (27678)
Letteguives (27366)
Lieurey (27367)
Lignerolles (27368)
Lilly (27369)
Lisors (27370)
Livet-sur-Authou (27371)
Longchamps (27372)
Lorleau (27373)
Louversey (27374)
Louviers (27375)
Louye (27376)
Lyons-la-Forêt (27377)
Mainneville (27379)
Malleville-sur-le-Bec (27380)
Malouy (27381)
Mandeville (27382)
Mandres (27383)
Manneville-la-Raoult (27384)
Manneville-sur-Risle (27385)
Marais-Vernier (27388)
Marbeuf (27389)
Marbois (27157)
Marcilly-la-Campagne (27390)
Marcilly-sur-Eure (27391)
Martagny (27392)
Martainville (27393)
Martot (27394)
Mélicourt (27395)
Ménesqueville (27396)
Ménilles (27397)
Menneval (27398)
Mercey (27399)
Merey (27400)
Mesnil-en-Ouche (27049)
Mesnil-Rousset (27404)
Mesnil-sous-Vienne (27405)
Mesnil-sur-l'Estrée (27406)
Mesnil-Verclives (27407)
Mesnils-sur-Iton (27198)
Mézières-en-Vexin (27408)
Miserey (27410)
Moisville (27411)
Montfort-sur-Risle (27413)
Montreuil-l'Argillé (27414)
Morainville-Jouveaux (27415)
Morgny (27417)
Morsan (27418)
Mouettes (27419)
Mouflaines (27420)
Mousseaux-Neuville (27421)
Muids (27422)
Muzy (27423)
Nagel-Séez-Mesnil (27424)
Nassandres sur Risle (27425)
Neaufles-Auvergny (27427)
Neaufles-Saint-Martin (27426)
Neuilly (27429)
Neuville-sur-Authou (27433)
Noards (27434)
Nogent-le-Sec (27436)
Nojeon-en-Vexin (27437)
Nonancourt (27438)
Normanville (27439)
Notre-Dame-d'Épine (27441)
Notre-Dame-de-l'Isle (27440)
Notre-Dame-du-Hamel (27442)
Noyers (27445)
Ormes (27446)
Pacy-sur-Eure (27448)
Parville (27451)
Perriers-sur-Andelle (27453)
Perruel (27454)
Piencourt (27455)
Pinterville (27456)
Piseux (27457)
Pîtres (27458)
Plainville (27460)
Plasnes (27463)
Pont-Audemer (27467)
Pont-Authou (27468)
Pont-de-l'Arche (27469)
Pont-Saint-Pierre (27470)
Port-Mort (27473)
Porte-de-Seine (27471)
Portes (27472)
Poses (27474)
Pressagny-l'Orgueilleux (27477)
Prey (27478)
Puchay (27480)
Pullay (27481)
Quatremare (27483)
Quillebeuf-sur-Seine (27485)
Quittebeuf (27486)
Radepont (27487)
Renneville (27488)
Reuilly (27489)
Richeville (27490)
Romilly-la-Puthenaye (27492)
Romilly-sur-Andelle (27493)
Rosay-sur-Lieure (27496)
Rouge-Perriers (27498)
Rougemontiers (27497)
Routot (27500)
Rouvray (27501)
Rugles (27502)
Sacquenville (27504)
Saint-Agnan-de-Cernières (27505)
Saint-André-de-l'Eure (27507)
Saint-Antonin-de-Sommaire (27508)
Saint-Aubin-d'Écrosville (27511)
Saint-Aubin-de-Scellon (27512)
Saint-Aubin-du-Thenney (27514)
